日期,营业执照,产品线,消耗量
2026-08-10,91110000MA01A0003X,直播推广,2.44
2026-08-11,91110000MA01A0003X,游戏效果,3.92
2026-08-11,91110000MA01A0003X,直播推广,3.46
2026-08-12,91110000MA01A0003X,游戏效果,3.36
2026-08-12,91110000MA01A0003X,直播推广,2.16
2026-08-13,91110000MA01A0003X,游戏效果,3.34
2026-08-13,91110000MA01A0003X,直播推广,2.59
2026-08-14,91110000MA01A0003X,游戏效果,4.09
2026-08-14,91110000MA01A0003X,直播推广,2.47
2026-08-15,91110000MA01A0003X,游戏效果,4.34
2026-08-15,91110000MA01A0003X,直播推广,2
2026-08-16,91110000MA01A0003X,游戏效果,4.45
2026-08-16,91110000MA01A0003X,直播推广,3.14
2026-08-17,91110000MA01A0003X,游戏效果,5.61
2026-08-17,91110000MA01A0003X,直播推广,2.58
2026-08-18,91110000MA01A0003X,游戏效果,4.93
2026-08-18,91110000MA01A0003X,直播推广,2.66
2026-07-20,91110000MA01A0004X,电商广告,1.65
2026-07-20,91110000MA01A0004X,搜索广告,0.97
2026-07-21,91110000MA01A0004X,电商广告,1.61
2026-07-21,91110000MA01A0004X,搜索广告,1.03
2026-07-22,91110000MA01A0004X,电商广告,1.61
2026-07-22,91110000MA01A0004X,搜索广告,1.09
2026-07-23,91110000MA01A0004X,电商广告,1.45
2026-07-23,91110000MA01A0004X,搜索广告,0.99
2026-07-24,91110000MA01A0004X,电商广告,0.95
2026-07-24,91110000MA01A0004X,搜索广告,0.87
2026-07-25,91110000MA01A0004X,电商广告,1.57
2026-07-25,91110000MA01A0004X,搜索广告,0.8
2026-07-26,91110000MA01A0004X,电商广告,1.4
2026-07-26,91110000MA01A0004X,搜索广告,1.29
2026-07-27,91110000MA01A0004X,电商广告,1.54
2026-07-27,91110000MA01A0004X,搜索广告,0.7
2026-07-28,91110000MA01A0004X,电商广告,1
2026-07-28,91110000MA01A0004X,搜索广告,0.97
2026-07-29,91110000MA01A0004X,电商广告,1.71
2026-07-29,91110000MA01A0004X,搜索广告,0.92
2026-07-30,91110000MA01A0004X,电商广告,1.52
2026-07-30,91110000MA01A0004X,搜索广告,0.97
2026-07-31,91110000MA01A0004X,电商广告,1.31
2026-07-31,91110000MA01A0004X,搜索广告,0.8
2026-08-01,91110000MA01A0004X,电商广告,1.41
2026-08-01,91110000MA01A0004X,搜索广告,1.19
2026-08-02,91110000MA01A0004X,电商广告,1.28
2026-08-02,91110000MA01A0004X,搜索广告,0.94
2026-08-03,91110000MA01A0004X,电商广告,1.47
2026-08-03,91110000MA01A0004X,搜索广告,1.12
2026-08-04,91110000MA01A0004X,电商广告,1.21
2026-08-04,91110000MA01A0004X,搜索广告,1.01
2026-08-05,91110000MA01A0004X,电商广告,1.64
2026-08-05,91110000MA01A0004X,搜索广告,0.75
2026-08-06,91110000MA01A0004X,电商广告,1.15
2026-08-06,91110000MA01A0004X,搜索广告,0.71
2026-08-07,91110000MA01A0004X,电商广告,1.36
2026-08-07,91110000MA01A0004X,搜索广告,0.99
2026-08-08,91110000MA01A0004X,电商广告,1.48
2026-08-08,91110000MA01A0004X,搜索广告,0.97
2026-08-09,91110000MA01A0004X,电商广告,1.04
2026-08-09,91110000MA01A0004X,搜索广告,0.91
2026-08-10,91110000MA01A0004X,电商广告,1.31
2026-08-10,91110000MA01A0004X,搜索广告,0.72
2026-08-11,91110000MA01A0004X,电商广告,1.3
2026-08-11,91110000MA01A0004X,搜索广告,0.72
2026-08-12,91110000MA01A0004X,电商广告,1.08
2026-08-12,91110000MA01A0004X,搜索广告,0.74
2026-08-13,91110000MA01A0004X,电商广告,1.1
2026-08-13,91110000MA01A0004X,搜索广告,1.06
2026-08-14,91110000MA01A0004X,电商广告,1.31
2026-08-14,91110000MA01A0004X,搜索广告,0.69
2026-08-15,91110000MA01A0004X,电商广告,1.53
2026-08-15,91110000MA01A0004X,搜索广告,1.08
2026-08-16,91110000MA01A0004X,电商广告,1.75
2026-08-16,91110000MA01A0004X,搜索广告,0.95
2026-08-17,91110000MA01A0004X,电商广告,1.5
2026-08-17,91110000MA01A0004X,搜索广告,1.03
2026-08-18,91110000MA01A0004X,电商广告,1.33
2026-08-18,91110000MA01A0004X,搜索广告,1.09
2026-07-20,91110000MA01A0008X,短剧投放,0.29
2026-07-20,91110000MA01A0008X,小程序广告,0.2
2026-07-21,91110000MA01A0008X,短剧投放,0.33
2026-07-21,91110000MA01A0008X,小程序广告,0.26
2026-07-22,91110000MA01A0008X,短剧投放,0.32
2026-07-22,91110000MA01A0008X,小程序广告,0.16
2026-07-23,91110000MA01A0008X,短剧投放,0.4
2026-07-23,91110000MA01A0008X,小程序广告,0.18
2026-07-24,91110000MA01A0008X,短剧投放,0.33
2026-07-24,91110000MA01A0008X,小程序广告,0.26
2026-07-25,91110000MA01A0008X,短剧投放,0.24
2026-07-25,91110000MA01A0008X,小程序广告,0.21
2026-07-26,91110000MA01A0008X,短剧投放,0.28
2026-07-26,91110000MA01A0008X,小程序广告,0.24
2026-07-27,91110000MA01A0008X,短剧投放,0.41
2026-07-27,91110000MA01A0008X,小程序广告,0.21
2026-07-28,91110000MA01A0008X,短剧投放,0.33
2026-07-28,91110000MA01A0008X,小程序广告,0.29
2026-07-29,91110000MA01A0008X,短剧投放,0.39
2026-07-29,91110000MA01A0008X,小程序广告,0.18
2026-07-30,91110000MA01A0008X,短剧投放,0.28
2026-07-30,91110000MA01A0008X,小程序广告,0.15
2026-07-31,91110000MA01A0008X,短剧投放,0.28
2026-07-31,91110000MA01A0008X,小程序广告,0.17
2026-08-01,91110000MA01A0008X,短剧投放,0.34
2026-08-01,91110000MA01A0008X,小程序广告,0.22
2026-08-02,91110000MA01A0008X,短剧投放,0.31
2026-08-02,91110000MA01A0008X,小程序广告,0.22
2026-08-03,91110000MA01A0008X,短剧投放,0.36
2026-08-03,91110000MA01A0008X,小程序广告,0.2
2026-08-04,91110000MA01A0008X,短剧投放,0.36
2026-08-04,91110000MA01A0008X,小程序广告,0.22
2026-08-05,91110000MA01A0008X,短剧投放,0.35
2026-08-05,91110000MA01A0008X,小程序广告,0.2
2026-08-06,91110000MA01A0008X,短剧投放,0.22
2026-08-06,91110000MA01A0008X,小程序广告,0.2
2026-08-07,91110000MA01A0008X,短剧投放,0.31
2026-08-07,91110000MA01A0008X,小程序广告,0.15
2026-08-08,91110000MA01A0008X,短剧投放,0.32
2026-08-08,91110000MA01A0008X,小程序广告,0.16
2026-08-09,91110000MA01A0008X,短剧投放,0.27
2026-08-09,91110000MA01A0008X,小程序广告,0.23
2026-08-10,91110000MA01A0008X,短剧投放,0.19
2026-08-10,91110000MA01A0008X,小程序广告,0.19
2026-08-11,91110000MA01A0008X,短剧投放,0.33
2026-08-11,91110000MA01A0008X,小程序广告,0.16
2026-08-12,91110000MA01A0008X,短剧投放,0.28
2026-08-12,91110000MA01A0008X,小程序广告,0.16
2026-08-13,91110000MA01A0008X,短剧投放,0.2
2026-08-13,91110000MA01A0008X,小程序广告,0.18
2026-08-14,91110000MA01A0008X,短剧投放,0.3
2026-08-14,91110000MA01A0008X,小程序广告,0.19
2026-08-15,91110000MA01A0008X,短剧投放,0.24
2026-08-15,91110000MA01A0008X,小程序广告,0.23
2026-08-16,91110000MA01A0008X,短剧投放,0.28
2026-08-16,91110000MA01A0008X,小程序广告,0.18
2026-08-17,91110000MA01A0008X,短剧投放,0.23
2026-08-17,91110000MA01A0008X,小程序广告,0.22
2026-08-18,91110000MA01A0008X,短剧投放,0.23
2026-08-18,91110000MA01A0008X,小程序广告,0.16
2026-07-20,91110000MA01A0011X,教育投放,0.15
2026-07-20,91110000MA01A0011X,品牌广告,0.12
2026-07-21,91110000MA01A0011X,教育投放,0.2
2026-07-21,91110000MA01A0011X,品牌广告,0.15
2026-07-22,91110000MA01A0011X,教育投放,0.17
2026-07-22,91110000MA01A0011X,品牌广告,0.08
2026-07-23,91110000MA01A0011X,教育投放,0.2
2026-07-23,91110000MA01A0011X,品牌广告,0.13
2026-07-24,91110000MA01A0011X,教育投放,0.19
2026-07-24,91110000MA01A0011X,品牌广告,0.15
2026-07-25,91110000MA01A0011X,教育投放,0.2
2026-07-25,91110000MA01A0011X,品牌广告,0.11
2026-07-26,91110000MA01A0011X,教育投放,0.19
2026-07-26,91110000MA01A0011X,品牌广告,0.14
2026-07-27,91110000MA01A0011X,教育投放,0.21
2026-07-27,91110000MA01A0011X,品牌广告,0.09
2026-07-28,91110000MA01A0011X,教育投放,0.16
2026-07-28,91110000MA01A0011X,品牌广告,0.15
2026-07-29,91110000MA01A0011X,教育投放,0.14
2026-07-29,91110000MA01A0011X,品牌广告,0.13
2026-07-30,91110000MA01A0011X,教育投放,0.15
2026-07-30,91110000MA01A0011X,品牌广告,0.14
2026-07-31,91110000MA01A0011X,教育投放,0.14
2026-07-31,91110000MA01A0011X,品牌广告,0.13
2026-08-01,91110000MA01A0011X,教育投放,0.19
2026-08-01,91110000MA01A0011X,品牌广告,0.11
2026-08-02,91110000MA01A0011X,教育投放,0.17
2026-08-02,91110000MA01A0011X,品牌广告,0.11
2026-08-03,91110000MA01A0011X,教育投放,0.15
2026-08-03,91110000MA01A0011X,品牌广告,0.11
2026-08-04,91110000MA01A0011X,教育投放,0.13
2026-08-04,91110000MA01A0011X,品牌广告,0.11
2026-08-05,91110000MA01A0011X,教育投放,0.15
2026-08-05,91110000MA01A0011X,品牌广告,0.09
2026-08-06,91110000MA01A0011X,教育投放,0.14
2026-08-06,91110000MA01A0011X,品牌广告,0.13
2026-08-07,91110000MA01A0011X,教育投放,0.17
2026-08-07,91110000MA01A0011X,品牌广告,0.09
2026-08-08,91110000MA01A0011X,教育投放,0.15
2026-08-08,91110000MA01A0011X,品牌广告,0.1
2026-08-09,91110000MA01A0011X,教育投放,0.15
2026-08-09,91110000MA01A0011X,品牌广告,0.1
2026-08-10,91110000MA01A0011X,教育投放,0.12
2026-08-10,91110000MA01A0011X,品牌广告,0.12
2026-08-11,91110000MA01A0011X,教育投放,0.17
2026-08-11,91110000MA01A0011X,品牌广告,0.08
2026-08-12,91110000MA01A0011X,教育投放,0.17
2026-08-12,91110000MA01A0011X,品牌广告,0.1
2026-08-13,91110000MA01A0011X,教育投放,0.15
2026-08-13,91110000MA01A0011X,品牌广告,0.12
2026-08-14,91110000MA01A0011X,教育投放,0.11
2026-08-14,91110000MA01A0011X,品牌广告,0.09
2026-08-15,91110000MA01A0011X,教育投放,0.17
2026-08-15,91110000MA01A0011X,品牌广告,0.11
2026-08-16,91110000MA01A0011X,教育投放,0.13
2026-08-16,91110000MA01A0011X,品牌广告,0.06
2026-08-17,91110000MA01A0011X,教育投放,0.12
2026-08-17,91110000MA01A0011X,品牌广告,0.11
2026-08-18,91110000MA01A0011X,教育投放,0.15
2026-08-18,91110000MA01A0011X,品牌广告,0.09
2026-07-30,91110000MA99Z9999X,短剧投放,3.5
2026-07-31,91110000MA99Z9999X,游戏效果,2.1
